feature;bloc_centre_2022;bloc_droite_2022;bloc_droite_radicale_2022;bloc_gauche_2022;bloc_gauche_radicale_2022;bloc_souverainiste_autres_2022;mean_abs_coef
bloc_gauche_2017;-0.0;-0.0;-1.347276740578702;3.7636542592787223;0.0;-0.0;0.8518218333095707
bloc_droite_radicale_2017;-0.00529903644332574;-0.05717664880792002;3.5499664117103595;-0.2790877157286838;0.0;0.0424330870829429;0.6556604832955387
bloc_centre_2017;2.396721935085191;-0.0;-0.20288481506365463;0.0;-0.03218944965853388;-0.012269552219565398;0.4406776253378242
bloc_droite_2017;1.8539664750371867;0.43094461344767876;0.0;0.0;-0.011277686608440978;-0.0;0.38269812918221774
bloc_gauche_2012;-0.0;-0.0;-0.021715722760562783;2.1085681362852062;0.0;-0.10601570881505043;0.3727165946434699
bloc_droite_2012;0.9815484770661055;0.8506176210886773;0.0;-0.0;-0.09877586882388184;0.0;0.3218236611631108
bloc_droite_radicale_2012;-0.0;-0.0;1.6182314888686535;-0.010446116516909458;0.0;0.0;0.2714462675642605
taux_chomage_2017;-0.5058317796059038;-0.0;0.0;0.502578961367093;0.0;-0.0023054885039598726;0.16845270491282613
bloc_centre_2012;0.5585686942413066;0.32301371894270847;-0.0;-0.0;-0.0;0.0;0.14693040219733586
bloc_souverainiste_autres_2017;0.0;0.0440559317683645;0.0;-0.0;0.0;0.46295193277049335;0.08450131075647631
personnes_par_menage_fiscal_2017;-0.0;-0.0;0.1942790468336661;0.0;-0.06713524619410487;-0.030477733930845175;0.04864867115976936
taux_chomage_2012;-0.17377049090737073;-0.0;-0.0;0.0;-0.0;-0.021812295779288348;0.03259713111444318
personnes_par_menage_fiscal_2012;-0.0;-0.19512571396704345;0.0;0.0;-0.0;-0.0;0.03252095232784057
bloc_souverainiste_autres_2012;0.0;0.0;-0.0;0.0;0.0;0.14445425439970966;0.024075709066618278
taux_chomage_delta_12_17;-0.0;-0.1411971091623744;0.0;0.0;0.0002534617572326431;-0.0;0.023575095153267844
bloc_gauche_radicale_2012;0.0;-0.0;0.0;-0.0;0.007119994728811452;0.1272083410688953;0.02238805596628446
bloc_gauche_radicale_delta_12_17;0.0;0.0;-0.12565648992595901;0.0;-0.0;-0.0;0.02094274832099317
bloc_centre_delta_12_17;0.0;-0.0;-0.0;0.0;-0.0;-0.09667894659924615;0.016113157766541025
nb_personnes_menages_fiscaux_2017;-0.0;-0.0;-0.0;0.08955194476582516;-0.0;-0.0;0.014925324127637528
nb_personnes_menages_fiscaux_2012;-0.0;-0.0;-0.0;0.08463335281833163;-0.0;-0.0;0.014105558803055272
salaries_par_etablissement_2017;-0.0;0.07920796367045047;-0.0;-0.0;-0.0;-0.0;0.013201327278408411
bloc_droite_radicale_delta_12_17;-0.023343886782680998;-0.012113195588906845;0.0;-0.0;0.0;0.03243076674403326;0.011314641519270183
bloc_gauche_radicale_2017;0.0;0.0;-0.0;0.0;0.048875344381822707;0.0;0.008145890730303784
population_delta_12_17;-0.0;-0.0;-0.04013525325987653;0.0;-0.0;-0.0;0.0066892088766460885
bloc_gauche_delta_12_17;0.0;0.03187177957558537;0.0;-0.0;0.0;0.0;0.005311963262597561
bloc_souverainiste_autres_delta_12_17;0.0;0.0;0.009515489009377863;-0.0;0.0;0.0;0.0015859148348963106
revenu_median_delta_12_17;-0.0;0.0;0.0;-0.0;-0.0;-0.002123293130807059;0.00035388218846784314
nb_menages_fiscaux_delta_12_17;-0.0;-0.0;-0.0;0.0;-0.001956383502824905;-0.0;0.00032606391713748415
nb_personnes_menages_fiscaux_delta_12_17;-0.0;-0.0;-0.0;0.0;-0.0001194403440565899;-0.0;1.990672400943165e-05
nb_etablissements_2017;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
effectifs_salaries_2012;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
salaries_par_etablissement_2012;-0.0;-0.0;0.0;-0.0;-0.0;-0.0;0.0
effectifs_salaries_delta_12_17;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
nb_etablissements_delta_12_17;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
nb_menages_fiscaux_2012;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
revenu_median_2012;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0
effectifs_salaries_2017;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
population_2017;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
nb_etablissements_2012;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
revenu_median_2017;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0
population_2012;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
nb_menages_fiscaux_2017;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
bloc_droite_delta_12_17;0.0;0.0;-0.0;0.0;-0.0;-0.0;0.0
